NUMEROS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
40,null,null,null,null,null,d59,d58,d60,d63,d62,null,d61,r30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
41,d46,d47,d48,d49,null,d42,null,null,null,null,d43,null,null,null,d41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,45,null,64
42,d46,d47,d48,d49,null,d42,null,null,null,null,d43,null,null,null,d41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,45,null,65
43,d46,d47,d48,d49,null,d42,null,null,null,null,d43,null,null,null,d41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,45,null,66
44,null,null,null,null,null,r52,r52,r52,r52,r52,null,r52,r52,r52,null,r52,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
45,null,null,null,null,null,r35,r35,r35,r35,r35,null,r35,r35,r35,null,r35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
46,null,null,null,null,null,r36,r36,r36,r36,r36,null,r36,r36,r36,d36,r36,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47,null,null,null,null,null,r37,r37,r37,r37,r37,null,r37,r37,r37,null,r37,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
48,null,null,null,null,null,r38,r38,r38,r38,r38,null,r38,r38,r38,null,r38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49,null,null,null,null,null,r39,r39,r39,r39,r39,null,r39,r39,r39,null,r39,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
50,r25,null,null,null,r25,null,null,null,null,null,null,null,null,null,null,null,null,r25,null,r25,r25,r25,r25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
51,null,null,null,null,null,null,null,null,null,null,null,null,null,d22,null,r12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,67,null,null,null,null,null,null,null,null,null,null,null,null,null,null
